start_s,end_s,duration_s,agent_overlap_ratio,energy_correlation,caller_mean_dbfs,agent_mean_dbfs,agent_louder_db,caller_spectral_flatness,hypothesis
3.82,3.96,0.14,1.0,0.5412,-33.711,-22.028,11.683,0.0479,possible_echo
4.28,4.72,0.44,1.0,-0.1952,-31.961,-24.229,7.732,0.0433,ambiguous
5.04,5.56,0.52,1.0,0.042,-31.545,-25.944,5.601,0.0308,ambiguous
6.66,6.9,0.24,1.0,-0.9184,-32.058,-32.647,-0.589,0.0256,ambiguous
10.44,10.52,0.08,0.0,-0.344,-46.215,-62.528,-16.313,0.0522,possible_unlabeled_speech
16.22,16.68,0.46,0.0,0.5441,-34.205,-60.262,-26.057,0.0418,possible_unlabeled_speech
19.44,19.82,0.38,0.0,0.6203,-38.671,-61.181,-22.509,0.0231,possible_unlabeled_speech
21.34,21.72,0.38,0.0,-0.1611,-35.184,-58.299,-23.114,0.0623,possible_unlabeled_speech
22.76,22.84,0.08,0.0,0.3698,-33.214,-58.406,-25.192,0.0559,possible_unlabeled_speech
27.5,27.6,0.1,1.0,-0.7646,-31.157,-49.445,-18.288,0.0346,ambiguous
28.12,28.22,0.1,1.0,-0.9496,-32.618,-17.52,15.097,0.033,ambiguous
29.3,29.76,0.46,1.0,0.1591,-30.759,-27.688,3.071,0.0202,ambiguous
33.82,33.96,0.14,0.0,0.8588,-33.231,-55.533,-22.303,0.0575,possible_unlabeled_speech
34.28,34.72,0.44,0.0,0.063,-31.633,-57.235,-25.601,0.0499,possible_unlabeled_speech
35.04,35.52,0.48,0.0,-0.3872,-31.115,-59.995,-28.879,0.0405,possible_unlabeled_speech
41.6,41.94,0.34,0.0,-0.3885,-27.871,-62.171,-34.3,0.0444,possible_unlabeled_speech
44.02,46.1,2.08,0.2212,0.2259,-31.212,-51.714,-20.502,0.0476,possible_unlabeled_speech
47.4,47.94,0.54,1.0,0.4065,-31.245,-26.221,5.024,0.0326,ambiguous
50.4,51.38,0.98,1.0,-0.2638,-30.462,-38.749,-8.287,0.0436,ambiguous
51.7,52.18,0.48,1.0,-0.1162,-32.527,-30.505,2.021,0.0447,ambiguous
57.46,57.56,0.1,0.0,0.1821,-31.378,-58.606,-27.228,0.0283,possible_unlabeled_speech
59.54,59.84,0.3,0.0,0.3765,-31.765,-58.343,-26.578,0.026,possible_unlabeled_speech
61.18,61.6,0.42,0.0,0.1566,-36.681,-57.947,-21.266,0.0409,possible_unlabeled_speech
62.94,63.02,0.08,0.0,0.3241,-44.832,-59.039,-14.206,0.0517,possible_unlabeled_speech
63.82,63.96,0.14,0.0,0.7768,-32.948,-61.848,-28.9,0.0504,possible_unlabeled_speech
64.26,65.58,1.32,0.6818,-0.2035,-32.722,-35.664,-2.942,0.0396,ambiguous
65.98,66.42,0.44,1.0,-0.3227,-29.799,-26.036,3.763,0.0446,ambiguous
66.7,66.94,0.24,1.0,0.3533,-31.986,-41.353,-9.368,0.0244,ambiguous
70.72,72.3,1.58,1.0,-0.2243,-30.227,-30.146,0.082,0.0376,ambiguous
73.7,76.08,2.38,0.6639,0.2162,-31.1,-43.798,-12.698,0.0467,ambiguous
77.3,77.92,0.62,0.0,-0.4016,-31.287,-56.858,-25.571,0.0275,possible_unlabeled_speech
80.12,80.22,0.1,0.0,0.0807,-34.595,-56.837,-22.242,0.0213,possible_unlabeled_speech
86.18,86.28,0.1,0.0,-0.3783,-33.779,-53.48,-19.701,0.0917,possible_unlabeled_speech
86.66,86.74,0.08,0.0,0.9572,-40.259,-56.515,-16.256,0.0351,possible_unlabeled_speech
89.42,89.74,0.32,0.0,0.5214,-30.39,-56.444,-26.054,0.0198,possible_unlabeled_speech
93.82,93.96,0.14,0.0,-0.733,-33.664,-59.878,-26.213,0.0666,possible_unlabeled_speech
94.28,94.72,0.44,1.0,-0.3652,-31.57,-26.351,5.219,0.05,ambiguous
95.04,95.56,0.52,1.0,-0.6673,-31.125,-28.817,2.308,0.0353,ambiguous
96.68,96.92,0.24,1.0,-0.0785,-31.958,-32.665,-0.707,0.0228,ambiguous
101.1,101.22,0.12,0.0,0.017,-32.608,-57.512,-24.904,0.0555,possible_unlabeled_speech
101.56,102.3,0.74,0.0,0.2612,-29.997,-57.443,-27.446,0.0433,possible_unlabeled_speech
104.34,106.14,1.8,0.2444,0.2663,-31.255,-50.751,-19.496,0.0472,possible_unlabeled_speech
107.38,107.96,0.58,1.0,0.3645,-31.345,-24.272,7.073,0.0298,ambiguous
110.44,111.42,0.98,0.0,0.2713,-30.495,-57.446,-26.951,0.0492,possible_unlabeled_speech
111.74,112.22,0.48,0.0,0.2307,-32.419,-58.357,-25.938,0.0445,possible_unlabeled_speech
115.04,115.14,0.1,0.0,-0.5095,-34.393,-62.257,-27.864,0.0303,possible_unlabeled_speech
116.34,116.7,0.36,0.0,0.3386,-39.21,-61.103,-21.893,0.0424,possible_unlabeled_speech
121.44,121.56,0.12,0.0,0.8585,-31.483,-57.499,-26.017,0.0143,possible_unlabeled_speech
123.86,124.02,0.16,0.0,-0.5221,-33.421,-57.029,-23.609,0.0496,possible_unlabeled_speech
124.32,124.78,0.46,0.0,-0.0281,-31.691,-54.883,-23.191,0.0599,possible_unlabeled_speech
125.1,125.62,0.52,0.0,0.2746,-30.983,-55.613,-24.631,0.0332,possible_unlabeled_speech
126.74,127.7,0.96,0.0,-0.0805,-33.383,-58.732,-25.349,0.0393,possible_unlabeled_speech
130.8,131.3,0.5,0.0,0.0631,-33.838,-59.971,-26.133,0.0362,possible_unlabeled_speech
131.64,132.38,0.74,0.0,0.1549,-29.707,-58.325,-28.618,0.0356,possible_unlabeled_speech
133.74,136.14,2.4,0.0,-0.0029,-31.167,-59.01,-27.843,0.0442,possible_unlabeled_speech
136.86,136.94,0.08,0.0,0.2494,-34.951,-62.325,-27.375,0.0417,possible_unlabeled_speech
137.98,138.1,0.12,0.0,0.2796,-34.082,-60.644,-26.562,0.0331,possible_unlabeled_speech
140.4,142.2,1.8,1.0,-0.2661,-32.278,-30.022,2.256,0.0431,ambiguous
146.88,146.96,0.08,1.0,-0.1884,-36.031,-23.396,12.635,0.0088,ambiguous
148.3,148.38,0.08,0.0,0.294,-37.57,-59.023,-21.453,0.0595,possible_unlabeled_speech
149.3,149.78,0.48,0.0,0.4022,-30.769,-58.858,-28.089,0.0155,possible_unlabeled_speech
151.4,151.5,0.1,1.0,0.9365,-34.735,-25.553,9.183,0.0255,possible_echo
152.28,152.38,0.1,1.0,-0.4932,-35.332,-36.222,-0.891,0.0095,ambiguous
153.84,154.02,0.18,0.0,0.8287,-32.349,-57.826,-25.477,0.0453,possible_unlabeled_speech
154.3,155.58,1.28,1.0,0.2651,-32.813,-31.424,1.389,0.037,ambiguous
156.72,157.66,0.94,1.0,0.459,-33.41,-29.05,4.36,0.0383,possible_echo
160.78,161.24,0.46,0.0,0.456,-34.104,-61.527,-27.423,0.0308,possible_unlabeled_speech
162.98,163.1,0.12,0.0,-0.1424,-32.786,-61.118,-28.332,0.058,possible_unlabeled_speech
163.4,163.46,0.06,0.0,-0.8623,-32.882,-62.83,-29.948,0.056,possible_unlabeled_speech
163.9,164.28,0.38,0.0,-0.1796,-30.006,-62.381,-32.374,0.039,possible_unlabeled_speech
166.06,166.16,0.1,0.0,-0.8742,-31.825,-54.906,-23.081,0.033,possible_unlabeled_speech
167.62,167.96,0.34,0.0,0.3948,-31.015,-44.346,-13.331,0.0243,possible_unlabeled_speech
170.42,170.98,0.56,0.0,0.1847,-31.103,-60.099,-28.995,0.0514,possible_unlabeled_speech
172.08,172.18,0.1,0.0,-0.5041,-34.132,-59.387,-25.255,0.0126,possible_unlabeled_speech
177.52,177.62,0.1,1.0,-0.4623,-31.484,-40.393,-8.909,0.0326,ambiguous
178.14,178.24,0.1,1.0,-0.5204,-31.888,-22.455,9.434,0.0271,ambiguous
179.34,179.8,0.46,1.0,0.2172,-30.861,-35.616,-4.755,0.019,ambiguous
183.84,183.98,0.14,1.0,-0.6897,-33.834,-24.049,9.785,0.0485,ambiguous
184.3,185.58,1.28,1.0,0.0021,-33.069,-38.393,-5.324,0.04,ambiguous
186.72,187.66,0.94,1.0,0.5438,-34.034,-32.093,1.941,0.035,ambiguous
190.78,192.34,1.56,1.0,-0.0188,-30.492,-31.273,-0.781,0.0291,ambiguous
193.76,196.12,2.36,1.0,0.2728,-31.218,-31.714,-0.497,0.0434,ambiguous
197.38,197.96,0.58,0.0,-0.0757,-31.231,-57.476,-26.245,0.029,possible_unlabeled_speech
199.88,199.96,0.08,0.0,0.6788,-37.325,-55.327,-18.002,0.0246,possible_unlabeled_speech
203.64,204.02,0.38,0.0,0.0319,-31.993,-60.763,-28.77,0.0474,possible_unlabeled_speech
204.62,204.7,0.08,0.0,0.7358,-37.32,-60.317,-22.997,0.0176,possible_unlabeled_speech
